incident_number,incident_types,reported_date,nearest_populated_centre,province,company,status,latitude,longitude,approx_vol_released,substance,release_type,significant,year,occurrence_date_and_time,discovered_date_and_time,detailed_what_happened,what_happened_category,detailed_why_it_happened,why_it_happened_category,duration_of_interruption_of_pipeline_operations,pipeline_or_facility_type,activity_being_performed_at_time_of_incident,how_the_incident_was_discovered,closed_date,pipeline_or_facility_equipment_involved,rupture,incident_type,released_substance_type,released_volume_m3,pipe_body_release,residual_effects_on_the_environment,source_of_explosion,source_of_fire,activity_at_time_of_fatality,number_of_fatalities,type_of_injury,number_of_individuals_injured,workdays_lost,work_restricted_by_injury,conditions_that_resulted_in_the_operation_beyond_limits,conditions_that_resulted_in_adverse_effects_on_the_environment,number_of_people_evacuated,regulation,pipeline_name,pipeline_outside_diameter_nps,pipeline_length_km,substance_carried,facility_name,facility_type,facility_latitude,facility_longitude,country,affects_company_property,off_company_property,affects_pipeline_right_of_way,affects_off_pipeline_right_of_way,land_use,population_density,kilometre_post,emergency_level,investigation_type,was_neb_staff_deployed,related_neb_event_number,equipment_or_component_involved,design_standard,nominal_pipe_size,material,material_grade,schedule,design_wall_thickness_mm,custom_design_wall_thickness_mm,actual_wall_thickness_mm,licensed_maximum_operating_pressure_k_pa,restricted_operating_pressure_k_pa,actual_operating_pressure_at_time_of_failure_k_pa,designed_depth_of_cover_m,actual_depth_of_cover_m,year_of_manufacture,year_of_installation,year_when_put_into_service,most_recent_cathodic_protection_reading_at_incident_site_m_v_vs_cu_cu_so4,weld_type,seam_type,seam_joining_method,seam_clock_position,coating_location,coating_type,coating_condition,application_method,year_when_the_coating_was_applied,insulation_installed,repair_type,repair_date,equipment_or_component_has_never_been_inspected,most_recent_inspection_date_for_the_failed_equipment_or_component,type_of_most_recent_inspection,most_recent_inspection_part_of_the_routine_inspection_program,no_maintenance_done_on_this_equipment_or_component,date_of_the_most_recent_maintenance_work_for_the_failed_equipment_or_component,most_recent_maintenance_type,most_recent_maintenance_work_part_of_the_routine_maintenance_program,reported_year,reported_month,reported_day
INC2012-053,Fire,2012-04-23,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54746,-113.35569,0,Not Applicable,Not Applicable,No,2012,4/20/2012 8:00,4/20/2012 8:00,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,NA,NA,Maintenance,Employee / Contractor (Onsite),6/27/2012,No,No,Fire,NA,NA,NA,No,NA,Welding or Cutting,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,EPI - Edmonton Terminal,NA,NA,NA,NA,NA,NA,NA,Canada,No,No,No,Yes,Unknown Land Use (Historical Data Migration),46 or more dwelling units per km,NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,4,23
INC2012-051,Release of Substance,2012-04-13,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27614,-66.02945,0,Natural Gas - Sweet,Gas,No,2012,4/13/2012 11:00,4/13/2012 11:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),11/1/2013,Yes,No,Release of Substance,Natural Gas - Sweet,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,4,13
INC2012-049,Release of Substance,2012-03-30,Iroquois,Ontario,TransCanada PipeLines Limited,Closed,44.88671,-75.29431,0,Natural Gas - Sweet,Gas,No,2012,3/29/2012 3:00,3/29/2012 3:00,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),8/20/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,3,30
INC2012-048,Release of Substance,2012-03-29,Whitburn,Alberta,NOVA Gas Transmission Ltd.,Closed,55.81522,-119.36594,0,Natural Gas - Sweet,Gas,No,2012,3/29/2012 11:30,3/29/2012 11:30,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training",Inadequate Supervision,NA,NA,Construction,Employee / Contractor (Onsite),1/24/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NGTL - Saddle Hills Compressor Station,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Legal Subdivision SW5-79-9W6,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,3,29
INC2012-045,Release of Substance,2012-03-13,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.274038,-66.0275,0,Natural Gas - Sweet,Gas,No,2012,3/13/2012 3:25,3/13/2012 3:25,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),6/8/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,MNE - Bayside Power Meter Station,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,3,13
INC2012-044,Operation Beyond Design Limits,2012-03-13,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54727,-113.35571,0,Not Applicable,Not Applicable,No,2012,3/13/2012 8:09,3/13/2012 8:09,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),10/22/2012,Yes,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,Line 2,"1219.00000000, 609.40000000, 610.00000000",1282.304863,Crude Oil,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,"Pipeline, Pipe, Body;Pipeline, Flange, Gasket/O-ring",CSA,NPS 24,Carbon Steel,NA,NA,NA,NA,NA,275,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,3,13
INC2012-041,Release of Substance,2012-03-02,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.7578,-118.30145,0,Natural Gas - Sweet,Gas,No,2012,3/1/2012 3:00,3/1/2012 3:00,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,NA,NA,Operation,Employee / Contractor (Onsite),1/2/2013,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NGTL - Belloy West Meter Station,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units per km,Legal Subdivision,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Metering, Delivering, Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Replacement,3/2/2012,No,NA,NA,No,No,3/2/2012,Replacement,No,2012,3,2
INC2012-040,Release of Substance,2012-03-01,Brandon,Manitoba,TransCanada PipeLines Limited,Closed,50.07461,-100.00038,1400,Fuel Gas,Gas,No,2012,2/27/2012 7:00,2/27/2012 7:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),10/10/2012,Yes,No,Release of Substance,Fuel Gas,1400,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,TCPL - Station 30 (Rapid City Compressor Station),NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units per km,Kilometer Post,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Valve",NA,NPS 4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Replacement,NA,No,NA,NA,No,No,NA,Replacement,No,2012,3,1
INC2012-038,Release of Substance,2012-02-29,Athabasca,Alberta,NOVA Gas Transmission Ltd.,Closed,54.64742,-112.80015,65,Natural Gas - Sweet,Gas,No,2012,2/28/2012 11:00,2/28/2012 11:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),1/2/2013,Yes,No,Release of Substance,Natural Gas - Sweet,65,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units per km,Legal Subdivision,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Metering, Delivering, Valve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Replacement,3/19/2012,No,NA,NA,No,No,3/19/2012,Replacement,No,2012,2,29
INC2012-032,Release of Substance,2012-02-21,Haileybury,Ontario,TransCanada PipeLines Limited,Closed,47.44682,-79.76273,0,Natural Gas - Sweet,Gas,No,2012,NA,2/9/2012 2:00,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),5/14/2013,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,TCPL - Station 110 (Haileybury Compressor Station),NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Fitting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Replacement,2/9/2012,No,NA,NA,No,No,2/9/2012,Replacement,No,2012,2,21
INC2012-031,Fire,2012-02-16,Nipigon,Ontario,TransCanada PipeLines Limited,Closed,49.29549,-88.10056,0,Not Applicable,Not Applicable,No,2012,2/15/2012 4:41,2/15/2012 4:41,"Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Substandard Conditions, Fire and explosion hazards;Substandard Conditions, Inadequate instructions or procedures;Substandard Conditions, Inadequate preparation or planning","External Interference, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming",Inadequate Supervision,NA,NA,Maintenance,Employee / Contractor (Onsite),5/17/2012,No,No,Fire,NA,NA,NA,No,NA,Housekeeping,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,16
INC2012-029,Release of Substance,2012-02-15,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.895524,-66.542645,0,Natural Gas - Sweet,Gas,No,2012,2/15/2012 1:40,2/15/2012 1:40,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Lubrication and servicing",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),11/1/2013,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Mainline,"762.00000000, 863.60000000",574.8807991,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,15
INC2012-028,Release of Substance,2012-02-13,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.82797,-93.63666,0,Natural Gas - Sweet,Gas,No,2012,2/12/2012 12:00,2/12/2012 12:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,NA,NA,Operation,Employee / Contractor (Onsite),1/16/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km) 52-1,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,13
INC2012-027,Release of Substance,2012-02-13,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Closed,49.82818,-93.63726,0,Natural Gas - Sweet,Gas,No,2012,2/12/2012 12:00,2/12/2012 12:00,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,NA,NA,Operation,Employee / Contractor (Onsite),1/15/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km) 52-1,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Valve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,13
INC2012-026,Serious Injury (NEB or TSB),2012-02-09,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.697588,-121.629633,0,Not Applicable,Not Applicable,Yes,2012,NA,2/9/2012 8:20,"Substandard Conditions, Presence of harmful materials",External Interference,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,NA,Transmission,Maintenance,Employee / Contractor (Onsite),2/11/2014,No,No,Serious Injury (NEB or TSB),NA,NA,NA,No,NA,NA,NA,NA,Lost Consciousness,NA,NA,No,NA,NA,0,OPR,Grizzly Pipeline,"273.10000000, 508.00000000, 610.00000000",160.6451852,Natural Gas Sour,NA,NA,NA,NA,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,9
INC2012-024,Fire,2012-02-07,Burstall,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,50.66225,-110.01655,0,Not Applicable,Not Applicable,No,2012,NA,2/6/2012 12:10,"Substandard Acts, Using equipment improperly",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,NA,NA,Maintenance,Employee / Contractor (Onsite),10/31/2012,No,No,Fire,NA,NA,NA,No,NA,Other Event (Nature or 3rd Party),NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,7
INC2012-023,Fire,2012-02-06,Thorndale,Ontario,Enbridge Pipelines Inc.,Closed,43.14439,-81.21239,0,Not Applicable,Not Applicable,No,2012,NA,2/6/2012 9:05,"Damage or deterioration mechanism, Cracking, Fatigue;Damage or deterioration mechanism, Construction, Defective Other Joint","Corrosion and Cracking, Defect and Deterioration","Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),3/6/2014,Yes,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,EPI (Bryanston) pump station,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Pumping, Auxiliary power unit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,6
INC2012-022,"Fire, Release of Substance",2012-02-03,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.18776,-110.86149,0,Mixed HVP Hydrocarbons,Gas,No,2012,1/28/2012 4:00,1/28/2012 4:00,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,NA,NA,Construction,Employee / Contractor (Onsite),10/28/2013,No,No,"Fire, Release of Substance",Mixed HVP Hydrocarbons,0,No,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,CHEECHAM WEST CROSSOVER,508,14.04277652,Natural Gas Sweet,NA,NA,NA,NA,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,3
INC2012-021,Release of Substance,2012-02-03,Shaunavon,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,49.78627,-108.72239,0,Natural Gas - Sweet,Gas,No,2012,NA,2/2/2012 11:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,NA,NA,Maintenance,Employee / Contractor (Onsite),1/24/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Foothills - Valve Site 135,NA,NA,NA,NA,NA,NA,NA,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Kilometer Post 135,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Pigging, Launching, Fitting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,2,3
INC2012-020,Serious Injury (NEB or TSB),2012-01-27,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.25495,-110.89551,0,Not Applicable,Not Applicable,Yes,2012,1/25/2012 2:20,1/25/2012 2:20,"Substandard Acts, Improper placement",Incorrect Operation,"Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training",Inadequate Supervision,NA,Transmission,Construction,Employee / Contractor (Onsite),10/23/2013,No,No,Serious Injury (NEB or TSB),NA,NA,NA,No,NA,NA,NA,NA,Lost Consciousness,1,NA,Yes,NA,NA,0,OPR,CHEECHAM WEST CROSSOVER,508,14.04277652,Natural Gas Sweet,NA,NA,NA,NA,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Legal Subdivision 4 84 6 W4,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,1,27
INC2012-019,Release of Substance,2012-01-26,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.274038,-66.0275,0,Natural Gas - Sweet,Gas,No,2012,NA,1/26/2012 12:50,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,NA,NA,Operation,Employee / Contractor (Onsite),1/2/2013,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,M&NP - Bayside Power Customer Station,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Valve;Pipeline, Valve, Plug, Seal/Packing",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Replacement,3/19/2012,No,NA,NA,No,No,3/19/2012,Replacement,No,2012,1,26
INC2012-018,Fire,2012-01-25,Cheecham,Alberta,NOVA Gas Transmission Ltd.,Closed,56.19745,-110.86556,0,Not Applicable,Not Applicable,No,2012,NA,1/24/2012 9:30,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,NA,NA,Construction,Employee / Contractor (Onsite),10/22/2013,Yes,No,Fire,NA,NA,NA,No,NA,Equipment & Electrical,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,CHEECHAM WEST CROSSOVER,508,14.04277652,Natural Gas Sweet,NA,NA,NA,NA,Canada,No,No,No,Yes,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,Vehicle / mobile equipment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,1,25
INC2012-017,"Fire, Release of Substance",2012-01-25,Fort Nelson,British Columbia,NOVA Gas Transmission Ltd.,Closed,59.20208,-121.62187,0.001,Propane,Gas,No,2012,1/20/2012 11:00,1/20/2012 11:00,"Damage or deterioration mechanism, Other Causes, Improper Operation",Incorrect Operation,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,NA,NA,Construction,Employee / Contractor (Onsite),10/22/2013,No,No,"Fire, Release of Substance",Propane,0.001,No,No,NA,Housekeeping,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2012,1,25
